Package,Version
abind,1.4-5
acepack,1.4.1
ade4,1.7-4
afex,0.16-1
AlgDesign,1.1-7.3
animation,2.4
AnnotationDbi,1.36.0
ape,3.5
arm,1.9-1
assertthat,0.1
backports,1.0.4
base64,2
base64enc,0.1-3
BH,1.62.0-1
Biobase,2.34.0
BiocGenerics,0.20.0
BiocInstaller,1.24.0
BiocParallel,1.8.1
Biostrings,2.42.0
bitops,1.0-6
brew,1.0-6
BSgenome,1.42.0
car,2.1-3
caTools,1.17.1
chron,2.3-47
coda,0.18-1
coin,1.1-2
colorspace,1.3-1
combinat,0.0-8
crayon,1.3.2
curl,2.2
data.table,1.9.6
DataCombine,0.2.21
DBI,0.5-1
deSolve,1.14
devtools,1.12.0
dichromat,2.0-0
digest,0.6.10
distillery,1.0-2
distrom,0.3-3
diversitree,0.9-9
doMPI,0.2.1
doParallel,1.0.10
dplyr,0.5.0
dynamicTreeCut,1.63-1
e1071,1.6-7
estimability,1.2
evaluate,0.1
evd,2.3-2
extRemes,2.0-8
fastcluster,1.1.21
fields,8.4-1
foreach,1.4.3
formatR,1.4
Formula,1.2-1
futile.logger,1.4.3
futile.options,1.0.0
gamlr,1.13-3
gdata,2.17.0
GenomeInfoDb,1.10.1
GenomicAlignments,1.10.0
GenomicRanges,1.26.1
getopt,1.20.0
ggplot2,2.2.1
ggthemes,3.3.0
git2r,0.16.0
glmnet,2.0-5
gmp,0.5-12
GO.db,3.4.0
gplots,3.0.1
gridBase,0.4-7
gridExtra,2.2.1
gtable,0.2.0
gtools,3.5.0
hexbin,1.27.1
highr,0.6
Hmisc,4.0-0
hms,0.2
htmlTable,1.7
htmltools,0.3.5
htmlwidgets,0.8
htSeqTools,1.22.0
httr,1.2.1
igraph,1.0.1
impute,1.48.0
inline,0.3.14
IRanges,2.8.1
irlba,2.1.2
iterators,1.0.8
jsonlite,1.1
klaR,0.6-12
knitr,1.15
labeling,0.3
lambda.r,1.1.9
latticeExtra,0.6-28
lazyeval,0.2.0
lfe,2.5-1998
lme4,1.1-12
lmerTest,2.0-32
Lmoments,1.2-3
lmtest,0.9-34
lsmeans,2.25
magrittr,1.5
maps,3.1.1
maptools,0.8-40
markdown,0.7.7
matlab,1.0.2
matrixcalc,1.0-3
MatrixModels,0.4-1
matrixStats,0.51.0
maxLik,1.3-4
mclust,5.2
mcmc,0.9-4
MCMCpack,1.3-8
memoise,1.0.0
mi,1
mime,0.5
minqa,1.2.4
misc3d,0.8-4
miscTools,0.6-20
mlogit,0.2-4
modeest,2.1
modeltools,0.2-21
multcomp,1.4-6
multicool,0.1-9
multtest,2.30.0
munsell,0.4.3
mvtnorm,1.0-5
ndtv,0.10.0
network,1.13.0
networkDynamic,0.9.0
nleqslv,3.0.3
nloptr,1.0.4
NMF,0.20.6
openssl,0.9.5
optparse,1.3.2
pbdMPI,0.3-3
pbkrtest,0.4-6
PearsonDS,0.98
permute,0.9-4
phia,0.2-1
pkgmaker,0.22
plotly,4.5.6
plyr,1.8.4
polynom,1.3-8
praise,1.0.0
preprocessCore,1.36.0
proxy,0.4-16
purrr,0.2.2
quantreg,5.29
R2HTML,2.3.2
R6,2.2.0
rain,1.8.0
randomForest,4.6-12
ranger,0.6.0
Rborist,0.1-3
RColorBrewer,1.1-2
Rcpp,0.12.8
RcppArmadillo,0.7.500.0.0
RcppEigen,0.3.2.9.0
RCurl,1.95-4.8
readr,1.0.0
readstata13,0.8.5
registry,0.3
reshape,0.8.6
reshape2,1.4.2
RInside,0.2.13
RIPSeeker,1.14.0
rlecuyer,0.3-4
rmarkdown,1.3
Rmpfr,0.6-1
Rmpi,0.6-6
rngtools,1.2.4
roxygen2,5.0.1
RPostgreSQL,0.4-1
rprojroot,1.1
Rsamtools,1.26.1
RSQLite,1.0.0
rstan,2.12.1
rstudioapi,0.6
rsvd,0.6
rtracklayer,1.34.1
rworldmap,1.3-6
S4Vectors,0.12.0
sandwich,2.3-4
scales,0.4.1
segmented,0.5-1.4
sem,3.1-8
seqinr,3.3-3
shape,1.4.2
simpleboot,1.1-3
slam,0.1-39
sna,2.4
snow,0.4-2
sourcetools,0.1.5
sp,1.2-4
spam,1.4-0
SparseM,1.74
sparsenet,1.2
SpatialExtremes,2.0-2
StanHeaders,2.14.0-1
statmod,1.4.27
statnet.common,3.3.0
stringi,1.1.2
stringr,1.1.0
subplex,1.2-2
SummarizedExperiment,1.4.0
testthat,1.0.2
textir,2.0-4
TH.data,1.0-7
tibble,1.2
tidyr,0.6.0
tree,1.0-37
vegan,2.4-1
viridis,0.3.4
viridisLite,0.1.3
WGCNA,1.51
whisker,0.3-2
withr,1.0.2
XML,3.98-1.5
xtable,1.8-2
XVector,0.14.0
yaml,2.1.14
zlibbioc,1.20.0
zoo,1.7-13
